Date,Title,URL
2020-05-18,Muktinath Bikas Bank leads among the development bank in the third quarter! Find out how development banks have performed amidst the pandemic!,https://www.sharesansar.com/newsdetail/muktinath-bikas-bank-leads-among-the-development-bank-in-the-third-quarter-find-out-how-development-banks-have-performed-amidst-the-pandemic
2020-03-06,Jyoti Bikas Bank and Global IME Bank distributing dividend directly to Demat account;Urges shareholders to dematerialize,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-and-global-ime-bank-distributing-dividend-directly-to-demat-accounturges-shareholders-to-dematerialize
2020-03-05,Bonus shares of Jyoti Bikas Bank Limited listed on NEPSE; 3.95 Million units made tradeable,https://www.sharesansar.com/newsdetail/bonus-shares-of-jyoti-bikas-bank-limited-listed-on-nepse-395-million-units-made-tradeable
2020-02-24,"As the market takes upward stride, where does the PE ratio of listed companies stand? Find out the latest PE ratio of all sectors and all companies",https://www.sharesansar.com/newsdetail/as-the-market-takes-upward-stride-where-does-the-pe-ratio-of-listed-companies-stand-find-out-the-latest-pe-ratio-of-all-sectors-and-all-companies-2020-02-24
2020-02-16,Look at comparison of major indicators of development banks based on second quarter report; Muktinath Bikas Bank maintains lead,https://www.sharesansar.com/newsdetail/look-at-comparison-of-major-indicators-of-development-banks-based-on-second-quarter-report-muktinath-bikas-bank-maintains-lead
2020-02-12,Jyoti Bikas Bank reports more than 60% increase in profits; EPS and net worth per share at Rs.16.07 and Rs.122.39 respectively,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-reports-more-than-60-increase-in-profits-eps-and-net-worth-per-share-at-rs1607-and-rs12239-respectively
2020-01-20,"Development banks select NCHL as RTGS Integration partner; Muktinath, Jyoti, Garima, Kamana Sewa and Lumbini Bikas Bank get into RTGS loop",https://www.sharesansar.com/newsdetail/development-banks-select-nchl-as-rtgs-integration-partner-muktinath-jyoti-garima-kamana-sewa-and-lumbini-bikas-bank-get-into-rtgs-loop
2020-01-05,Jyoti Bikas Bank changes its AGM venue; Meeting to be held at Naxal on Poush 29,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-changes-its-agm-venue-meeting-to-be-held-at-naxal-on-poush-29
2019-12-31,"Last day to grab shares of Summit Microfinance, Jyoti Bikas Bank, Sindhu Bikas Bank, Goodwill finance and Nepal Seva laghubitta to claim dividend",https://www.sharesansar.com/newsdetail/last-day-to-grab-shares-of-summit-microfinance-jyoti-bikas-bank-sindhu-bikas-bank-goodwill-finance-and-nepal-seva-laghubitta-to-claim-dividend
2019-12-24,Jyoti Bikash Bank to convene AGM on Poush 29; Book closure for 12.75% bonus on Poush 16,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-to-convene-agm-on-poush-29-book-closure-for-1275-bonus-on-poush-16
2019-12-05,Jyoti Bikas Bank proposes 12.75% bonus shares; Find dividend history,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-proposes-1275-bonus-shares-find-dividend-history
2019-11-26,How have development banks performed in the first quarter of FY 76/77? One bank leads in almost all major indicators,https://www.sharesansar.com/newsdetail/how-have-development-banks-performed-in-the-first-quarter-of-fy-7677-one-bank-leads-in-almost-all-major-indicators
2019-11-17,Performance of 7 national level development banks for Q1 of 2076/77; Kailash Bikas Bank reports highest annualized EPS,https://www.sharesansar.com/newsdetail/performance-of-7-national-level-development-banks-for-q1-of-207677-kailash-bikas-bank-reports-highest-annualized-eps
2019-11-03,Know the financial performance of Development Banks till 2nd month of FY 2076/77; Muktinath Bikas Bank has highest deposits and loans,https://www.sharesansar.com/newsdetail/know-the-financial-performance-of-development-banks-till-2nd-month-of-fy-207677-muktinath-bikas-bank-has-highest-deposits-and-loans
2019-08-29,Find out how development banks performed this quarter!,https://www.sharesansar.com/newsdetail/find-out-how-development-banks-performed-this-quarter
2019-08-15,Jyoti Bikash Bank's net profit rises by a whopping 68.79% after M&A; Bank reports Rs 50 crore in net profit for Q4 2075/76,https://www.sharesansar.com/newsdetail/jyoti-bikash-banks-net-profit-rises-by-a-whopping-6879-after-ma-bank-reports-rs-50-crore-in-net-profit-for-q4-207576
2019-05-29,Jyoti Bikas Bank at Tal Chowk and Lakeside of Pokhara; branch network grows steadily to 97 so far,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-at-tal-chowk-and-lakeside-of-pokhara-branch-network-grows-steadily-to-97-so-far
