Date,Open,High,Low,Close,Volume
10/15/2018,1242.35,1246.14,1241.48,1241.63,306736992
10/21/2018,1241.15,1248.32,1241.15,1246.52,136048000
10/22/2018,1246.52,1248.08,1240.58,1244.54,167090000
10/23/2018,1244.55,1246.21,1238.63,1241.84,192782000
10/24/2018,1241.84,1250.45,1239.01,1249.93,218378000
10/25/2018,1250.02,1250.3,1240.58,1241.11,270716000
10/28/2018,1241.11,1241.82,1225.38,1227.49,305220000
10/29/2018,1227.49,1227.49,1215.82,1216.93,214403008
10/30/2018,1216.93,1224.36,1216,1224.36,213728000
10/31/2018,1224.36,1224.99,1218.85,1221.46,158274000
11/1/2018,1221.46,1223.76,1217.46,1220.98,241964000
11/4/2018,1220.98,1221.22,1206.48,1207.28,280206016
11/5/2018,1207.28,1219.75,1205.81,1219.2,239046000
11/6/2018,1222.53,1222.53,1222.53,1222.53,33213900
11/11/2018,1224.39,1224.39,1205.22,1205.22,98566496
11/12/2018,1204.64,1204.64,1192.22,1193.34,132057000
11/13/2018,1192.87,1209.1,1191.72,1207.57,166104000
11/14/2018,1208.28,1209.23,1203.58,1208.89,178260992
11/15/2018,1208.89,1213.63,1205.02,1205.02,236074000
11/18/2018,1203.94,1204.79,1194.18,1195.45,319399008
11/19/2018,1196.08,1196.15,1187.96,1190.2,207570000
11/20/2018,1189.97,1190.15,1181.66,1181.75,171414000
11/21/2018,1182.17,1182.74,1176.45,1182.55,227711008
11/22/2018,1181.34,1184.92,1181.34,1184.92,248907008
11/25/2018,1181.96,1182.44,1166.01,1166.63,244220992
11/26/2018,1166.59,1167.19,1159.31,1159.82,293713984
11/27/2018,1159.75,1167.17,1159.75,1161.49,218848992
11/28/2018,1161.5,1162.98,1158.75,1159.08,396228000
11/29/2018,1159.07,1160.42,1148.13,1148.36,314926016
12/2/2018,1148.29,1148.36,1129.89,1130.89,451952000
12/3/2018,1130.31,1144,1128.91,1131.73,622254976
12/4/2018,1133,1142.01,1131.15,1142.01,363332992
12/5/2018,1140.99,1142.06,1117.45,1118.13,329556992
12/6/2018,1117.97,1126,1109.32,1120.84,338912992
12/9/2018,1121.1,1128.45,1121.1,1128.45,218708992
12/10/2018,1131.43,1145.61,1131.43,1144.19,386500000
12/11/2018,1143.85,1145.75,1139.95,1141.1,370360992
12/12/2018,1140.83,1143.7,1137.67,1141.18,208110000
12/13/2018,1141.25,1153.17,1140.54,1148.78,298800000
12/16/2018,1149.23,1168.59,1149.23,1167.67,437036992
12/17/2018,1167.55,1182.81,1166.06,1182.78,360561984
12/18/2018,1183.12,1185.36,1165.59,1168.17,512580992
12/19/2018,1168.29,1171.58,1158.88,1162.7,342703008
12/20/2018,1162.65,1173.8,1162.65,1165.97,393798016
12/23/2018,1166.33,1198.18,1166.33,1198.18,756868992
12/24/2018,1198.26,1207.88,1190.86,1191.74,695494976
12/25/2018,1192.61,1192.95,1182.41,1186.03,337190016
12/26/2018,1186.11,1216.27,1184.3,1216.27,679681024
12/27/2018,1216.57,1232.74,1211.72,1215.16,1097720064
12/30/2018,1215.14,1219.29,1204.06,1204.54,433888992
12/31/2018,1204.68,1207.25,1187.28,1187.28,390624000
1/1/2019,1187.3,1196.18,1183.84,1185.91,227166000
1/2/2019,1185.74,1186.9,1180.43,1180.43,246231008
1/3/2019,1180.47,1184.95,1178.06,1178.87,262468000
1/6/2019,1178.25,1181.58,1170.11,1170.79,298870016
1/7/2019,1170.72,1181.17,1170.36,1177.46,322203008
1/8/2019,1177.87,1180.85,1175.99,1177.07,332627008
1/9/2019,1177.01,1183.12,1176.9,1179.36,275980992
1/10/2019,1179.6,1183.19,1179.6,1180.84,344812992
1/13/2019,1181.13,1182.44,1173.33,1175.05,353560000
1/14/2019,1183.2,1186.8,1181.06,1186.8,264043008
1/15/2019,1178.62,1195.54,1178.62,1195.54,391993984
1/16/2019,1196.05,1200.32,1187.97,1187.97,474423008
1/17/2019,1190.2,1190.73,1186.46,1187.77,281347008
1/20/2019,1190.98,1191.41,1176.78,1179.17,361756992
1/21/2019,1179.18,1179.18,1167.2,1167.69,335558016
1/22/2019,1167.62,1172.5,1162.74,1168.83,277291008
1/23/2019,1168.52,1173.07,1167.85,1172.98,238475008
1/24/2019,1172.8,1175.51,1169.86,1172.78,306295008
1/27/2019,1173.21,1173.21,1160.76,1160.84,306070016
1/28/2019,1162.18,1164.89,1161.37,1164.89,203579008
1/29/2019,1164.89,1165.21,1159.65,1160.99,259283008
1/30/2019,1160.56,1163.43,1159.22,1160.59,190572992
1/31/2019,1160.85,1163.86,1160.17,1161.63,268244992
2/3/2019,1160.52,1161.63,1151.77,1153.06,321743008
2/4/2019,1153.17,1155.13,1144.11,1144.27,322760992
2/5/2019,1144.39,1149.56,1142.78,1147.1,221967008
2/6/2019,1148.08,1148.12,1138.47,1139.72,226248992
2/7/2019,1139.77,1141.14,1137.14,1139.57,242260000
2/10/2019,1139.7,1140.15,1125.69,1127.53,228292000
2/11/2019,1127.7,1132.69,1124.42,1128.86,191024000
2/12/2019,1128.88,1132.5,1126.05,1128.19,156376000
2/13/2019,1128.22,1132.29,1120.49,1121.08,230651008
2/14/2019,1120.82,1121.69,1112.15,1112.87,231671008
